Website,Connection Establishment Time_x,RTT_x,Initial Response_x,Latency_x,Page Load Time_x,Dependency Load Time_x,Page Size_x,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type_x
google.com,140.879154205322,45.3870296478272,107,22.6935148239136,2606,981,5758,Albania,44,810,3131021,Other
facebook.com,132.058382034302,50.4555702209473,239,25.2277851104736,2166,1904,67307,Albania,46,3707,18162816,Social Media Sites
imdb.com,483.942270278931,45.4473495483398,1264,22.7236747741699,4479,2425,707806,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Entertainment Websites
apple.com,171.164274215698,45.4668998718262,91,22.7334499359131,2072,712,255185,Albania,46,298,86533,Other
pinterest.com,114.180564880371,47.0385551452637,273,23.5192775726318,1174,1168,260946,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Social Media Sites
yelp.com,175.781488418579,46.069860458374,605,23.034930229187,1980,1975,109438,Albania,47,2936,7620135,Other
dictionary.com,187.601566314697,45.7367897033691,54,22.8683948516846,,894,248713,Albania,169,7942,16286661,Educational Websites
yahoo.com,451.09486579895,47.2607612609863,235,23.6303806304932,1402,1286,989054,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
cambridge.org,176.669597625732,45.2308654785156,199,22.6154327392578,1786,1167,286057,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Educational Websites
britannica.com,485.863924026489,48.7520694732666,331,24.3760347366333,,1034,163562,Albania,292,18148,18426415,Educational Websites
weather.com,142.389297485352,55.0911426544189,91,27.5455713272095,1608,843,764138,Albania,92,900,1404795,Other
walmart.com,132.594585418701,46.2820529937744,119,23.1410264968872,11198,1285,172289,Albania,91,3331,8130383,E-commerce Platforms
espn.com,132.813692092896,45.5982685089111,287,22.7991342544556,10651,2606,1154250,Albania,0,7016,21212071,Other
linkedin.com,164.062738418579,44.88205909729,367,22.441029548645,1225,696,142300,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Social Media Sites
espncricinfo.com,673.87843132019,45.0263023376465,110,22.5131511688232,2282,1420,570660,Albania,182,1794,1149156,Other
craigslist.org,511.171817779541,44.6302890777588,174,22.3151445388794,2691,1499,51059,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
xnxx.com,313.223838806152,45.9840297698975,177,22.9920148849487,2551,1585,203628,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
gsmarena.com,160.502910614014,50.5039691925049,83,25.2519845962524,2178,1091,63454,Albania,0,633,1510139,Other
cricbuzz.com,503.12066078186,45.5641746520996,306,22.7820873260498,,538,145788,Albania,0,7882,20940904,Other
timeanddate.com,323.68540763855,45.7432270050049,99,22.8716135025024,,509,69419,Albania,0,4077,5578517,Other
webmd.com,486.124515533447,44.865608215332,279,22.432804107666,,1226,306881,Albania,111,10610,6188634,Health and Medical Websites
thesaurus.com,216.169834136963,86.4038467407227,90,43.2019233703613,3329,1179,207849,Albania,132,7644,10580505,Other
whatsapp.com,214.653968811035,77.6278972625732,645,38.8139486312866,2877,2249,258741,Albania,243,5742,10956378,Other
rottentomatoes.com,240.827798843384,45.466423034668,108,22.733211517334,2079,1392,336906,Albania,149,1314,410902,Entertainment Websites
bbc.com,131.186246871948,44.9738502502441,61,22.4869251251221,2659,1530,213618,Albania,45,272,44355,News Websites
healthline.com,109.619617462158,46.1809635162354,816,23.0904817581177,9947,1655,355669,Albania,49,4441,5713090,Health and Medical Websites
netflix.com,495.884895324707,45.4850196838379,513,22.7425098419189,6582,3438,482387,Albania,44,5425,18114995,Entertainment Websites
indeed.com,110.320806503296,44.9111461639404,69,22.4555730819702,10766,10580,10593,Albania,46,398,271088,Other
thefreedictionary.com,510.842800140381,47.3630428314209,198,23.6815214157104,5393,1149,192343,Albania,398,14150,18968115,Educational Websites
xvideos.com,319.38648223877,45.7086563110352,225,22.8543281555176,3867,2294,134629,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
spotify.com,134.007930755615,45.4719066619873,117,22.7359533309937,3215,1608,76584,Albania,45,1411,4647843,Entertainment Websites
livescore.com,131.012201309204,45.2003479003906,89,22.6001739501953,2141,1088,258946,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
ebay.com,459.381103515625,50.6222248077393,381,25.3111124038696,3133,1531,313844,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",E-commerce Platforms
pornhub.com,175.182104110718,45.2835559844971,473,22.6417779922485,3804,1999,677564,Albania,0,1918,5411757,Other
ytmp3.cc,664.290189743042,47.7399826049805,240,23.8699913024902,3477,1789,164214,Albania,73,2974,7812375,Other
nih.gov,491.079568862915,45.0141429901123,228,22.5070714950562,6462,1196,81882,Albania,98,2406,3602527,Health and Medical Websites
tiktok.com,111.726760864258,44.804573059082,1764,22.402286529541,3783,3067,656020,Albania,44,672,450135,Other
steampowered.com,151.555061340332,49.7267246246338,61,24.8633623123169,2625,1638,508342,Albania,0,552,1510139,Other
investopedia.com,165.332317352295,47.6224422454834,6212,23.8112211227417,6407,6399,147,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Financial Websites
cdc.gov,659.950733184814,64.4619464874268,80,32.2309732437134,1183,743,236314,Albania,50,300,52858,Health and Medical Websites
blog.google,163.378715515137,45.0499057769775,227,22.5249528884888,4455,1558,311339,Albania,137,16279,17637450,Other
cnbc.com,468.749284744263,74.7432708740234,191,37.3716354370117,1334,598,2187719,Albania,0,152,47939,News Websites
indiatimes.com,175.103664398193,47.250509262085,75,23.6252546310425,5475,848,813703,Albania,289,24348,35244200,Other
flashscore.com,136.200428009033,46.5376377105713,99,23.2688188552856,1396,1131,299340,Albania,0,315,292506,Other
thepiratebay.org,184.07416343689,53.7598133087158,931,26.8799066543579,2221,2059,4896,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
speedtest.net,164.305686950684,44.9237823486328,416,22.4618911743164,3718,1027,154398,Albania,85,8283,17676491,Other
ssyoutube.com,116.747379302979,49.9286651611328,149,24.9643325805664,1943,1094,30024,Albania,137,1985,3131012,Other
unsplash.com,174.706697463989,66.6639804840088,55,33.3319902420044,3205,1229,386206,Albania,45,744,1510139,Other
mcdonalds.com,323.89760017395,47.2030639648438,85,23.6015319824219,2381,1415,265463,Albania,46,1030,3170830,Other
deepl.com,235.183954238892,46.269416809082,176,23.134708404541,1752,1371,226212,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
bloomberg.com,359.534502029419,81.3000202178955,61,40.6500101089478,17999,607,14807,Albania,44,492,963852,Financial Websites
forbes.com,168.084144592285,45.6042289733887,54,22.8021144866943,19928,1025,929608,Albania,45,31672,35188292,Financial Websites
booking.com,111.172437667847,45.7618236541748,338,22.8809118270874,2026,1327,677899,Albania,47,1201,4642973,Other
xhamster.com,118.254661560059,45.0739860534668,632,22.5369930267334,5326,2528,288972,Albania,46,284,49338,Other
spanishdict.com,481.027126312256,45.4509258270264,213,22.7254629135132,3039,437,249629,Albania,45,3024,5990813,Other
goodhousekeeping.com,113.953590393066,44.9824333190918,69,22.4912166595459,1410,693,418606,Albania,49,1041,1895149,Other
dominos.com,125.565767288208,46.215295791626,344,23.107647895813,3010,591,47710,Albania,44,1179,4625747,Other
twitch.tv,126.752853393555,63.8473033905029,0,31.9236516952515,2469,1031,214255,Albania,46,1940,1943954,Entertainment Websites
pexels.com,131.063222885132,46.9658374786377,94,23.4829187393188,2135,895,260560,Albania,180,1062,411005,Other
poki.com,108.355283737183,45.2694892883301,91,22.634744644165,1056,498,275302,Albania,1099,7929,2087934,Gaming Websites
caranddriver.com,120.515584945679,45.4518795013428,58,22.7259397506714,1360,816,456714,Albania,132,1426,1788731,Other
github.com,174.956798553467,44.452428817749,134,22.2262144088745,1276,1092,234532,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
hotels.com,164.811134338379,45.81618309021,407,22.908091545105,3819,2952,897351,Albania,0,184,27693,Other
globo.com,626.773595809937,79.5218944549561,358,39.760947227478,13914,4284,984843,Albania,47,6397,17324400,Other
theguardian.com,139.65368270874,45.9482669830322,53,22.9741334915161,1925,529,1242816,Albania,185,1192,277133,News Websites
wellsfargo.com,141.815900802612,45.6547737121582,62,22.8273868560791,3583,1137,131962,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
expedia.com,216.435432434082,46.6070175170898,838,23.3035087585449,8732,2964,1357218,Albania,46,4286,13906268,Other
realtor.com,685.724258422852,44.9588298797607,736,22.4794149398804,,1484,969388,Albania,614,411400,68826459,Other
crazygames.com,113.619565963745,48.7957000732422,72,24.3978500366211,1891,1293,596425,Albania,1097,19054,7768709,Gaming Websites
digitaltrends.com,138.482570648193,45.6132888793945,69,22.8066444396973,,1105,638222,Albania,185,8134,14524393,Other
nba.com,461.057901382446,46.8192100524902,478,23.4096050262451,4760,1563,478741,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
nintendo.com,658.085584640503,46.9386577606201,53,23.4693288803101,2393,1286,760914,Albania,46,531,326883,Gaming Websites
akc.org,174.628019332886,45.9909439086914,64,22.9954719543457,5092,569,600769,Albania,0,38287,48093736,Other
decathlon.com,132.092475891113,45.743465423584,67,22.871732711792,2386,1580,1193378,Albania,94,4067,3726976,Other
www2.hm.com,121.721267700195,47.6303100585938,81,23.8151550292969,1374,1121,46941,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
facebook.com,494.725227355957,241.379737854004,517,120.689868927002,9028,8507,67339,Argentina,241,45952,37115202,Social Media Sites
amazon.com,1172.93763160706,242.726802825928,745,121.363401412964,7489,4136,893149,Argentina,240,1792,158204,E-commerce Platforms
imdb.com,1198.55856895447,241.496562957764,1599,120.748281478882,18555,5029,705819,Argentina,242,876,3667,Entertainment Websites
pinterest.com,503.316164016724,240.433216094971,531,120.216608047485,3564,3558,261199,Argentina,240,1952,73813,Social Media Sites
yelp.com,548.351764678955,240.893363952637,800,120.446681976318,4180,4175,109539,Argentina,251,5167,4935479,Other
wiktionary.org,829.264402389526,335.000991821289,476,167.500495910645,2220,2157,61262,Argentina,240,1418,49888,Other
yahoo.com,796.942949295044,246.753215789795,474,123.376607894897,10168,5169,1055940,Argentina,2405,18851,1998883,Other
cambridge.org,846.577882766724,241.624116897583,482,120.812058448792,6078,3474,285853,Argentina,0,2574,586586,Educational Websites
britannica.com,1201.42102241516,241.252183914185,532,120.626091957092,,3277,167683,Argentina,1934,72326,37186940,Educational Websites
weather.com,521.23498916626,241.08624458313,334,120.543122291565,4976,2940,800921,Argentina,979,15748,4266558,Other
walmart.com,498.584032058716,240.739345550537,298,120.369672775269,8011,2331,17157,Argentina,241,1908,230104,E-commerce Platforms
espn.com,497.008562088013,297.338485717773,701,148.669242858887,,7081,491625,Argentina,729,30877,25123018,Other
linkedin.com,823.484659194946,297.530889511108,590,148.765444755554,3962,1523,131487,Argentina,240,1419,58341,Social Media Sites
espncricinfo.com,1917.15955734253,304.124355316162,361,152.062177658081,13463,4902,511881,Argentina,724,9961,6112705,Other
craigslist.org,1220.64399719238,242.520570755005,402,121.260285377502,8020,3351,51711,Argentina,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
xnxx.com,1416.71466827393,255.153656005859,522,127.57682800293,6947,4796,197696,Argentina,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
gsmarena.com,922.300338745117,250.420570373535,484,125.210285186768,,5378,83174,Argentina,0,247234,24274437,Other
mayoclinic.org,1262.11953163147,240.914106369019,1042,120.457053184509,11324,3784,557846,Argentina,966,22898,12530438,Health and Medical Websites
cricbuzz.com,1205.98149299622,250.263452529907,500,125.131726264954,12811,1330,144784,Argentina,1209,32089,23582558,Other
timeanddate.com,768.417358398438,241.884708404541,409,120.942354202271,,2111,69798,Argentina,978,51601,14165934,Other
webmd.com,1245.81480026245,241.511583328247,499,120.755791664124,,3913,307906,Argentina,1217,276150,40601038,Health and Medical Websites
thesaurus.com,737.65230178833,270.272016525269,243,135.136008262634,16740,3297,242475,Argentina,1462,47057,22709582,Other
rottentomatoes.com,559.784173965454,322.668552398682,305,161.334276199341,4691,2888,336906,Argentina,722,6650,482058,Entertainment Websites
bbc.com,496.038436889648,241.175889968872,251,120.587944984436,8351,5275,214359,Argentina,744,5660,164843,News Websites
bestbuy.com,895.295143127441,240.66948890686,1739,120.33474445343,10234,4151,417782,Argentina,1326,10122,2800575,E-commerce Platforms
netflix.com,1828.96184921265,240.752220153809,1144,120.376110076904,15054,7499,454759,Argentina,482,8065,10088563,Entertainment Websites
indeed.com,491.064071655273,243.721008300781,454,121.860504150391,10499,6179,195289,Argentina,240,9038,6681581,Other
thefreedictionary.com,1415.15779495239,240.998268127441,560,120.499134063721,,2907,191777,Argentina,1204,134245,43320810,Educational Websites
xvideos.com,1406.39567375183,242.767333984375,524,121.383666992188,9533,4655,1305441,Argentina,243,1150,20683,Other
livescore.com,495.391607284546,241.097688674927,472,120.548844337463,8784,2812,259377,Argentina,1118,3345,1056096,Other
ebay.com,958.974123001099,289.169073104858,579,144.584536552429,8137,4338,407532,Argentina,243,8469,730286,E-commerce Platforms
pornhub.com,550.263404846191,241.018295288086,571,120.509147644043,9147,4224,679677,Argentina,241,5685,3033214,Other
nih.gov,1163.91372680664,241.333246231079,398,120.66662311554,5928,3274,81510,Argentina,1204,14629,6680606,Health and Medical Websites
tiktok.com,493.165016174316,240.676641464233,2126,120.338320732117,9332,5991,614332,Argentina,486,6757,838845,Other
steampowered.com,491.904735565186,241.083383560181,235,120.54169178009,7796,3446,520202,Argentina,239,3170,1536711,Other
investopedia.com,501.441955566406,240.674257278442,482,120.337128639221,6538,3314,289415,Argentina,965,8334,3146730,Financial Websites
cdc.gov,1304.35538291931,305.671215057373,247,152.835607528687,3740,2987,236314,Argentina,243,1396,52858,Health and Medical Websites
blog.google,635.784864425659,243.578195571899,451,121.78909778595,6824,3028,311339,Argentina,3328,43583,22562772,Other
cnbc.com,966.937780380249,240.89789390564,254,120.44894695282,4451,1725,2094055,Argentina,240,2383,82702,News Websites
indiatimes.com,634.459972381592,295.078277587891,248,147.539138793945,18208,2204,1096076,Argentina,981,69680,53036482,Other
roblox.com,797.071695327759,241.220951080322,488,120.610475540161,7752,4881,101828,Argentina,480,3870,480352,Gaming Websites
flashscore.com,494.898319244385,246.20795249939,284,123.103976249695,4370,3004,299340,Argentina,723,7321,1376455,Other
speedtest.net,744.812726974487,262.297868728638,981,131.148934364319,,3112,164587,Argentina,483,73304,27772224,Other
ssyoutube.com,491.897821426392,240.617513656616,503,120.308756828308,6217,3561,30024,Argentina,483,7921,4641151,Other
unsplash.com,861.526012420654,251.956462860107,250,125.978231430054,7875,3554,387086,Argentina,241,9185,4970933,Other
vocabulary.com,494.960784912109,243.575572967529,860,121.787786483765,8021,4680,44883,Argentina,241,7681,4792097,Other
deepl.com,1015.16032218933,253.312826156616,786,126.656413078308,7010,5054,226148,Argentina,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
bloomberg.com,772.959709167481,240.928888320923,250,120.464444160461,4683,2560,14423,Argentina,240,2427,963852,Financial Websites
forbes.com,865.649461746216,271.711111068726,249,135.855555534363,,3482,957385,Argentina,724,449941,46147188,Financial Websites
booking.com,1009.83929634094,301.979780197144,700,150.989890098572,9480,3720,706542,Argentina,969,7729,4691035,Other
xhamster.com,597.609996795654,265.736103057861,781,132.868051528931,10917,6733,340148,Argentina,240,7430,4792097,Other
xe.com,789.457559585571,241.836547851562,476,120.918273925781,5781,3738,512329,Argentina,493,9146,4884786,Other
coinmarketcap.com,491.858243942261,240.648984909058,337,120.324492454529,9830,3837,421890,Argentina,1654,17272,6432508,Financial Websites
spanishdict.com,1240.5526638031,240.28754234314,447,120.14377117157,9747,1227,249428,Argentina,486,10713,7924931,Other
goodhousekeeping.com,549.846649169922,241.356372833252,275,120.678186416626,4270,2445,428170,Argentina,240,3964,466772,Other
twitch.tv,498.919248580933,242.295980453491,1,121.147990226746,10745,3918,224923,Argentina,964,6324,1599942,Entertainment Websites
pexels.com,497.23744392395,241.748332977295,276,120.874166488647,7492,2823,263349,Argentina,1682,11622,1050659,Other
poki.com,487.247228622437,240.579843521118,283,120.289921760559,5119,1672,275207,Argentina,6507,44272,2409468,Gaming Websites
caranddriver.com,499.460935592651,245.925664901733,252,122.962832450867,4459,2588,458403,Argentina,240,3947,1671697,Other
github.com,560.916185379028,299.681663513184,284,149.840831756592,5495,4007,234506,Argentina,245,1502,70279,Other
hotels.com,548.638105392456,274.743556976318,1472,137.371778488159,,4893,1105792,Argentina,485,36372,28435450,Other
globo.com,560.52827835083,241.957426071167,272,120.978713035584,13569,4513,982110,Argentina,724,92201,32215823,Other
theguardian.com,539.287805557251,321.303129196167,465,160.651564598084,6376,1990,1297572,Argentina,10356,56241,2000074,News Websites
wellsfargo.com,575.494050979614,298.662900924683,305,149.331450462341,5463,3725,131205,Argentina,243,1670,113119,Other
expedia.com,543.999433517456,240.398168563843,899,120.199084281921,,5443,1399000,Argentina,497,60452,30946416,Other
realtor.com,1374.54652786255,240.87643623352,1372,120.43821811676,,3296,968554,Argentina,1191,1046017,104261546,Other
crazygames.com,495.715379714966,240.371465682983,256,120.185732841492,7887,3064,596860,Argentina,3393,39885,18214658,Gaming Websites
nba.com,908.198833465576,240.493774414062,757,120.246887207031,,3402,698551,Argentina,963,88748,24300276,Other
nintendo.com,1187.70742416382,243.090867996216,257,121.545433998108,9628,2968,868723,Argentina,482,6529,3350722,Gaming Websites
akc.org,738.783359527588,241.113662719727,256,120.556831359863,19940,2118,599943,Argentina,965,62161,52289855,Other
fast.com,792.439460754395,294.958829879761,246,147.47941493988,4026,3985,25627,Argentina,240,3141,4587843,Other
decathlon.com,499.323606491089,240.587472915649,249,120.293736457825,10754,5012,1197537,Argentina,484,17762,19036252,Other
stackoverflow.com,744.488477706909,240.806579589844,385,120.403289794922,4027,3647,175989,Argentina,7531,38607,1114778,Other
calculator.net,1278.00297737122,243.772506713867,401,121.886253356934,4175,2571,11466,Argentina,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
www2.hm.com,599.694728851318,242.084264755249,423,121.042132377625,7902,4955,732598,Argentina,727,5129,399883,Other
grubhub.com,498.923063278198,240.899801254272,421,120.449900627136,19751,3279,261267,Argentina,2417,43153,25080280,Other
facebook.com,515.32244682312,209.447860717773,519,104.723930358887,5335,4530,67370,Australia,210,2490,2369161,Social Media Sites
amazon.com,1363.49558830261,209.287166595459,1257,104.64358329773,5180,3924,291973,Australia,209,1687,158204,E-commerce Platforms
imdb.com,1359.64703559875,209.656000137329,2015,104.828000068665,18981,5270,947455,Australia,0,34769,2995089,Entertainment Websites
apple.com,505.375862121582,209.710359573364,431,104.855179786682,6053,2846,257217,Australia,209,1457,86533,Other
merriam-webster.com,432.497262954712,211.958169937134,333,105.979084968567,,2179,279612,Australia,630,97086,35498904,Educational Websites
pinterest.com,434.230327606201,209.621667861938,788,104.810833930969,4693,4687,260708,Australia,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Social Media Sites
yelp.com,566.744327545166,213.157653808594,991,106.578826904297,3899,3895,108946,Australia,209,3575,1802645,Other
dictionary.com,643.648147583008,209.466934204102,211,104.733467102051,14563,2978,244254,Australia,629,59552,21374581,Educational Websites
yahoo.com,903.692722320557,242.835998535156,417,121.417999267578,,4376,994300,Australia,854,129093,46600345,Other
cambridge.org,650.634765625,210.118055343628,680,105.059027671814,6199,3722,285854,Australia,0,2432,586586,Educational Websites
weather.com,512.543201446533,209.245920181274,281,104.622960090637,4518,2778,801451,Australia,420,4889,1408446,Other
walmart.com,855.267286300659,211.739778518677,760,105.869889259338,9826,977,178414,Australia,768,22702,10846171,E-commerce Platforms
espn.com,444.463014602661,218.30415725708,1047,109.15207862854,,5876,488526,Australia,419,42545,28557794,Other
linkedin.com,641.47162437439,211.12060546875,537,105.560302734375,3449,1441,131153,Australia,244,1365,58341,Social Media Sites
homedepot.com,506.577730178833,211.193799972534,488,105.596899986267,1520,1520,227,Australia,209,1439,74651,Other
espncricinfo.com,812.091827392578,209.218740463257,218,104.609370231628,18727,3939,515218,Australia,1057,89675,34129331,Other
craigslist.org,1370.04280090332,214.776515960693,407,107.388257980347,5972,3401,52025,Australia,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
xnxx.com,1328.41086387634,209.367275238037,483,104.683637619019,8537,4321,196331,Australia,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
gsmarena.com,831.522464752197,209.03468132019,414,104.517340660095,6017,4082,62980,Australia,0,1859,1510139,Other
mayoclinic.org,1392.11535453796,210.944652557373,753,105.472326278687,10453,3467,557843,Australia,845,20044,15753205,Health and Medical Websites
cricbuzz.com,745.054721832275,211.822032928467,221,105.911016464233,18473,1272,142773,Australia,1279,54287,29743052,Other
timeanddate.com,905.066967010498,209.463596343994,295,104.731798171997,,1972,69448,Australia,209,60108,9435770,Other
webmd.com,1379.9774646759,224.084138870239,1574,112.04206943512,,13028,307121,Australia,636,83130,16180079,Health and Medical Websites
thesaurus.com,661.682367324829,209.893465042114,211,104.946732521057,13925,3167,241877,Australia,653,44803,18112503,Other
whatsapp.com,516.708850860596,209.026336669922,897,104.513168334961,6704,4516,258882,Australia,459,4769,3129139,Other
rottentomatoes.com,521.209478378296,208.84895324707,256,104.424476623535,5069,2531,336922,Australia,418,4935,412227,Entertainment Websites
bbc.com,431.587696075439,208.574056625366,213,104.287028312683,8483,5401,222918,Australia,210,3402,155361,News Websites
bestbuy.com,502.210855484009,209.011554718018,578,104.505777359009,3550,2974,6921,Australia,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",E-commerce Platforms
healthline.com,793.400049209595,212.811231613159,1010,106.40561580658,18836,3121,354653,Australia,640,33732,18706373,Health and Medical Websites
indeed.com,506.649017333984,212.245464324951,428,106.122732162476,11657,5805,208480,Australia,422,17065,8325954,Other
thefreedictionary.com,852.673053741455,219.301700592041,563,109.650850296021,,3009,191998,Australia,836,79664,25015502,Educational Websites
xvideos.com,1430.61542510986,258.914947509766,479,129.457473754883,9827,4507,1298132,Australia,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
spotify.com,507.68780708313,209.463596343994,412,104.731798171997,,3692,192040,Australia,419,18934,14819678,Entertainment Websites
livescore.com,510.400772094727,222.181558609009,249,111.090779304504,9136,2669,266572,Australia,434,4589,2398347,Other
ebay.com,868.825912475586,208.83584022522,932,104.41792011261,8611,4879,406773,Australia,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",E-commerce Platforms
pornhub.com,527.698278427124,209.232091903687,690,104.616045951843,6756,3970,659524,Australia,419,3391,1526096,Other
ytmp3.cc,799.151182174683,209.770679473877,319,104.885339736938,8203,4729,164351,Australia,0,18898,12589059,Other
nih.gov,1359.87710952759,232.625484466553,533,116.312742233276,9282,3178,81225,Australia,1084,13545,6680606,Health and Medical Websites
tiktok.com,432.731151580811,209.396600723267,2131,104.698300361633,7573,5351,661848,Australia,418,14450,2041443,Other
steampowered.com,752.465724945068,209.437370300293,412,104.718685150146,7006,3803,517558,Australia,0,1910,1510139,Other
investopedia.com,500.852584838867,237.308502197266,6242,118.654251098633,6941,6934,147,Australia,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Financial Websites
cdc.gov,1547.09625244141,209.213733673096,254,104.606866836548,5584,2200,236811,Australia,418,2637,114120,Health and Medical Websites
blog.google,592.72313117981,210.903406143188,614,105.451703071594,6443,3474,311339,Australia,2440,29828,17656024,Other
cnbc.com,1148.19097518921,210.350036621094,479,105.175018310547,4677,2275,2187774,Australia,0,652,47939,News Websites
indiatimes.com,536.575317382813,208.659172058105,256,104.329586029053,,1973,1096015,Australia,1055,55344,43445792,Other
roblox.com,798.869848251343,208.496570587158,546,104.248285293579,8168,7038,96953,Australia,211,1876,187846,Gaming Websites
flashscore.com,503.801345825195,226.483345031738,267,113.241672515869,4449,2614,299367,Australia,860,6222,1071302,Other
thepiratebay.org,502.196788787842,208.884000778198,943,104.442000389099,5538,3740,4967,Australia,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
