,Unnamed: 0.1,Unnamed: 0_x,Website,Connection Establishment Time_x,RTT_x,Initial Response_x,Latency_x,Page Load Time_x,Dependency Load Time_x,Page Size_x,IP_x,City_x,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type_x,Unnamed: 0_y,Connection Establishment Time_y,RTT_y,Initial Response_y,Latency_y,Page Load Time_y,Dependency Load Time_y,Page Size_y,IP_y,City_y,Without WASM RTT,Without WASM Durations,Without WASM Sizes,Website Type_y,Unnamed: 0,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Website Type
15,16,16,walmart.com,132.594585418701,46.2820529937744,119.0,23.1410264968872,11198.0,1285.0,172289.0,31.171.155.229,Tirana,Albania,91,3331,8130383,E-commerce Platforms,16,148.195505142212,58.6452484130859,114.0,29.322624206543,6893.0,1515.0,172738.0,31.171.155.156,Tirana,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms,16,147.348403930664,52.6816844940186,104.0,26.3408422470093,17097.0,1191.0,172734.0,31.171.155.172,Tirana,E-commerce Platforms
16,17,17,espn.com,132.813692092896,45.5982685089111,287.0,22.7991342544556,10651.0,2606.0,1154250.0,31.171.155.229,Tirana,Albania,0,7016,21212071,Other,17,140.507698059082,55.7541847229004,230.0,27.8770923614502,21624.0,2906.0,1796874.0,31.171.155.156,Tirana,56,25856,59029776,Other,17,126.213073730469,53.2932281494141,496.0,26.646614074707,123228.0,3076.0,2342225.0,31.171.155.172,Tirana,Other
17,18,18,linkedin.com,164.062738418579,44.88205909729,367.0,22.441029548645,1225.0,696.0,142300.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Social Media Sites,18,195.147275924683,62.4182224273682,381.0,31.2091112136841,1522.0,852.0,131872.0,31.171.155.156,Tirana,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",Social Media Sites,18,192.512273788452,52.5143146514893,262.0,26.2571573257446,659.0,657.0,24571.0,31.171.155.172,Tirana,Social Media Sites
19,20,20,espncricinfo.com,673.87843132019,45.0263023376465,110.0,22.5131511688232,2282.0,1420.0,570660.0,31.171.155.229,Tirana,Albania,182,1794,1149156,Other,20,740.285634994507,56.1325550079346,1417.0,28.0662775039673,14616.0,2955.0,676735.0,31.171.155.156,Tirana,68,24106,29368171,Other,20,894.298553466797,58.9113235473633,103.0,29.4556617736816,3551.0,1650.0,486791.0,31.171.155.172,Tirana,Other
20,21,21,craigslist.org,511.171817779541,44.6302890777588,174.0,22.3151445388794,2691.0,1499.0,51059.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other,21,517.519474029541,68.9544677734375,187.0,34.4772338867187,2843.0,1592.0,51241.0,31.171.155.156,Tirana,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",Other,21,553.96580696106,67.0557022094727,240.0,33.5278511047363,5163.0,2090.0,51457.0,31.171.155.172,Tirana,Other
21,22,22,xnxx.com,313.223838806152,45.9840297698975,177.0,22.9920148849487,2551.0,1585.0,203628.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other,22,395.142793655396,59.5662593841553,196.0,29.7831296920776,6550.0,4027.0,204491.0,31.171.155.156,Tirana,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",Other,22,343.342781066895,53.9171695709229,196.0,26.9585847854614,2771.0,1958.0,203508.0,31.171.155.172,Tirana,Other
22,23,23,gsmarena.com,160.502910614014,50.5039691925049,83.0,25.2519845962524,2178.0,1091.0,63454.0,31.171.155.229,Tirana,Albania,0,633,1510139,Other,23,180.22632598877,55.8786392211914,84.0,27.9393196105957,49216.0,2185.0,86517.0,31.171.155.156,Tirana,0,28743,15515837,Other,23,195.18518447876,77.2337913513184,121.0,38.6168956756592,35837.0,1266.0,95116.0,31.171.155.172,Tirana,Other
24,25,25,cricbuzz.com,503.12066078186,45.5641746520996,306.0,22.7820873260498,30910.0,538.0,145788.0,31.171.155.229,Tirana,Albania,0,7882,20940904,Other,25,550.518035888672,56.0851097106934,94.0,28.0425548553467,9616.0,425.0,143370.0,31.171.155.156,Tirana,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other,25,518.916845321655,55.2172660827637,87.0,27.6086330413818,3740.0,375.0,257157.0,31.171.155.172,Tirana,Other
25,26,26,timeanddate.com,323.68540763855,45.7432270050049,99.0,22.8716135025024,23064.0,509.0,69419.0,31.171.155.229,Tirana,Albania,0,4077,5578517,Other,26,363.765954971313,59.3023300170898,110.0,29.6511650085449,22897.0,641.0,69970.0,31.171.155.156,Tirana,59,6661,10034273,Other,26,378.666400909424,55.9165477752686,109.0,27.9582738876343,18832.0,607.0,68954.0,31.171.155.172,Tirana,Other
26,27,27,webmd.com,486.124515533447,44.865608215332,279.0,22.432804107666,22270.0,1226.0,306881.0,31.171.155.229,Tirana,Albania,111,10610,6188634,Health and Medical Websites,27,615.28754234314,71.2530612945557,272.0,35.6265306472778,30765.0,1340.0,309211.0,31.171.155.156,Tirana,118,38546,28533341,Health and Medical Websites,27,600.902318954468,54.9542903900147,306.0,27.4771451950073,26233.0,1261.0,309747.0,31.171.155.172,Tirana,Health and Medical Websites
27,28,28,thesaurus.com,216.169834136963,86.4038467407227,90.0,43.2019233703613,3329.0,1179.0,207849.0,31.171.155.229,Tirana,Albania,132,7644,10580505,Other,28,200.186967849731,55.8905601501465,78.0,27.9452800750732,4122.0,1174.0,208794.0,31.171.155.156,Tirana,121,6766,6324628,Other,28,215.869903564453,53.8644790649414,60.0,26.9322395324707,2690.0,911.0,208232.0,31.171.155.172,Tirana,Other
28,29,29,whatsapp.com,214.653968811035,77.6278972625732,645.0,38.8139486312866,2877.0,2249.0,258741.0,31.171.155.229,Tirana,Albania,243,5742,10956378,Other,29,148.944139480591,58.6349964141846,555.0,29.3174982070923,4918.0,3193.0,258862.0,31.171.155.156,Tirana,1196,23863,34438215,Other,29,151.416778564453,61.8236064910889,510.0,30.9118032455444,2291.0,1395.0,259018.0,31.171.155.172,Tirana,Other
29,30,30,rottentomatoes.com,240.827798843384,45.466423034668,108.0,22.733211517334,2079.0,1392.0,336906.0,31.171.155.229,Tirana,Albania,149,1314,410902,Entertainment Websites,30,209.699630737305,58.3016872406006,1068.0,29.1508436203003,10238.0,2181.0,540652.0,31.171.155.156,Tirana,117,6597,8072818,Entertainment Websites,30,227.019309997559,53.2448291778564,85.0,26.6224145889282,2889.0,1192.0,417022.0,31.171.155.172,Tirana,Entertainment Websites
30,31,31,bbc.com,131.186246871948,44.9738502502441,61.0,22.4869251251221,2659.0,1530.0,213618.0,31.171.155.229,Tirana,Albania,45,272,44355,News Websites,31,134.549140930176,62.8814697265625,83.0,31.4407348632812,4104.0,2428.0,221355.0,31.171.155.156,Tirana,72,384,44355,News Websites,31,148.698568344116,52.4866580963135,102.0,26.2433290481567,2877.0,2061.0,227047.0,31.171.155.172,Tirana,News Websites
32,33,33,healthline.com,109.619617462158,46.1809635162354,816.0,23.0904817581177,9947.0,1655.0,355669.0,31.171.155.229,Tirana,Albania,49,4441,5713090,Health and Medical Websites,33,156.985759735107,122.313022613525,335.0,61.1565113067627,11439.0,1293.0,355305.0,31.171.155.156,Tirana,262,10618,11135900,Health and Medical Websites,33,137.793064117432,74.1026401519775,255.0,37.0513200759888,7525.0,1159.0,355238.0,31.171.155.172,Tirana,Health and Medical Websites
33,34,34,netflix.com,495.884895324707,45.4850196838379,513.0,22.7425098419189,6582.0,3438.0,482387.0,31.171.155.229,Tirana,Albania,44,5425,18114995,Entertainment Websites,34,554.296493530273,60.9505176544189,704.0,30.4752588272095,10633.0,6184.0,488119.0,31.171.155.156,Tirana,120,17306,27812090,Entertainment Websites,34,556.070804595947,172.921419143677,978.0,86.4607095718384,4952.0,3996.0,481851.0,31.171.155.172,Tirana,Entertainment Websites
34,35,35,indeed.com,110.320806503296,44.9111461639404,69.0,22.4555730819702,10766.0,10580.0,10593.0,31.171.155.229,Tirana,Albania,46,398,271088,Other,35,142.202615737915,95.8454608917236,103.0,47.9227304458618,1011.0,778.0,10572.0,31.171.155.156,Tirana,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other,35,142.150163650513,53.2200336456299,73.0,26.6100168228149,661.0,358.0,10614.0,31.171.155.172,Tirana,Other
35,36,36,thefreedictionary.com,510.842800140381,47.3630428314209,198.0,23.6815214157104,5393.0,1149.0,192343.0,31.171.155.229,Tirana,Albania,398,14150,18968115,Educational Websites,36,424.257755279541,60.7361793518066,285.0,30.3680896759033,20163.0,1547.0,192226.0,31.171.155.156,Tirana,784,35251,24252610,Educational Websites,36,694.921255111694,56.9636821746826,388.0,28.4818410873413,4160.0,1313.0,192175.0,31.171.155.172,Tirana,Educational Websites
36,37,37,xvideos.com,319.38648223877,45.7086563110352,225.0,22.8543281555176,3867.0,2294.0,134629.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other,37,338.504076004028,57.0628643035889,174.0,28.5314321517944,2600.0,1846.0,133400.0,31.171.155.156,Tirana,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",Other,37,326.059341430664,94.5658683776856,173.0,47.2829341888428,2707.0,1716.0,134287.0,31.171.155.172,Tirana,Other
37,38,38,spotify.com,134.007930755615,45.4719066619873,117.0,22.7359533309937,3215.0,1608.0,76584.0,31.171.155.229,Tirana,Albania,45,1411,4647843,Entertainment Websites,38,140.236616134644,56.2195777893066,150.0,28.1097888946533,13105.0,4538.0,188641.0,31.171.155.156,Tirana,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Entertainment Websites,38,186.838388442993,53.8709163665772,159.0,26.9354581832886,2938.0,1596.0,78885.0,31.171.155.172,Tirana,Entertainment Websites
38,39,39,livescore.com,131.012201309204,45.2003479003906,89.0,22.6001739501953,2141.0,1088.0,258946.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other,39,151.733636856079,58.2294464111328,109.0,29.1147232055664,3481.0,1179.0,252476.0,31.171.155.156,Tirana,94,1884,2402199,Other,39,201.905012130737,53.0896186828613,157.0,26.5448093414307,1851.0,991.0,223639.0,31.171.155.172,Tirana,Other
39,40,40,ebay.com,459.381103515625,50.6222248077393,381.0,25.3111124038696,3133.0,1531.0,313844.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",E-commerce Platforms,40,483.763933181763,122.913837432861,383.0,61.4569187164307,3226.0,2033.0,318903.0,31.171.155.156,Tirana,58,595,339670,E-commerce Platforms,40,622.6487159729,53.7033081054688,373.0,26.8516540527344,2607.0,1423.0,308962.0,31.171.155.172,Tirana,E-commerce Platforms
40,41,41,pornhub.com,175.182104110718,45.2835559844971,473.0,22.6417779922485,3804.0,1999.0,677564.0,31.171.155.229,Tirana,Albania,0,1918,5411757,Other,41,209.89465713501,56.0233592987061,255.0,28.011679649353,4005.0,1810.0,672030.0,31.171.155.156,Tirana,172,4171,4840621,Other,41,235.548973083496,116.594552993774,310.0,58.2972764968872,7257.0,3308.0,675762.0,31.171.155.172,Tirana,Other
41,42,42,ytmp3.cc,664.290189743042,47.7399826049805,240.0,23.8699913024902,3477.0,1789.0,164214.0,31.171.155.229,Tirana,Albania,73,2974,7812375,Other,42,709.102869033814,55.8481216430664,283.0,27.9240608215332,3370.0,1689.0,164369.0,31.171.155.156,Tirana,62,4818,13806692,Other,42,715.572357177734,56.0455322265625,267.0,28.0227661132812,2977.0,1979.0,168444.0,31.171.155.172,Tirana,Other
42,43,44,nih.gov,491.079568862915,45.0141429901123,228.0,22.5070714950562,6462.0,1196.0,81882.0,31.171.155.229,Tirana,Albania,98,2406,3602527,Health and Medical Websites,44,557.83486366272,56.7610263824463,273.0,28.3805131912231,3801.0,1343.0,81118.0,31.171.155.156,Tirana,0,8946,9234263,Health and Medical Websites,44,534.198522567749,65.6509399414063,218.0,32.8254699707031,2301.0,1245.0,81118.0,31.171.155.172,Tirana,Health and Medical Websites
43,44,45,tiktok.com,111.726760864258,44.804573059082,1764.0,22.402286529541,3783.0,3067.0,656020.0,31.171.155.229,Tirana,Albania,44,672,450135,Other,45,175.471067428589,76.0416984558106,985.0,38.0208492279053,6351.0,3324.0,878255.0,31.171.155.156,Tirana,230,2112,900363,Other,45,129.798412322998,57.2323799133301,825.0,28.616189956665,3195.0,2437.0,727040.0,31.171.155.172,Tirana,Other
44,45,46,steampowered.com,151.555061340332,49.7267246246338,61.0,24.8633623123169,2625.0,1638.0,508342.0,31.171.155.229,Tirana,Albania,0,552,1510139,Other,46,164.916276931763,57.2683811187744,189.0,28.6341905593872,4453.0,1609.0,501967.0,31.171.155.156,Tirana,0,2034,1510139,Other,46,158.190488815308,52.9513359069824,73.0,26.4756679534912,2977.0,1441.0,517641.0,31.171.155.172,Tirana,Other
45,46,47,investopedia.com,165.332317352295,47.6224422454834,6212.0,23.8112211227417,6407.0,6399.0,147.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Financial Websites,47,151.399374008179,59.2479705810547,6624.0,29.6239852905273,6834.0,6828.0,147.0,31.171.155.156,Tirana,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Financial Websites,47,154.877662658691,54.3925762176514,7019.0,27.1962881088257,7218.0,7210.0,147.0,31.171.155.172,Tirana,Financial Websites
46,47,48,cdc.gov,659.950733184814,64.4619464874268,80.0,32.2309732437134,1183.0,743.0,236314.0,31.171.155.229,Tirana,Albania,50,300,52858,Health and Medical Websites,48,696.915149688721,56.7638874053955,84.0,28.3819437026978,2383.0,1969.0,236314.0,31.171.155.156,Tirana,57,336,52858,Health and Medical Websites,48,697.422504425049,64.0325546264648,86.0,32.0162773132324,1112.0,699.0,236198.0,31.171.155.172,Tirana,Health and Medical Websites
48,49,50,blog.google,163.378715515137,45.0499057769775,227.0,22.5249528884888,4455.0,1558.0,311339.0,31.171.155.229,Tirana,Albania,137,16279,17637450,Other,50,482.185125350952,89.5092487335205,251.0,44.7546243667603,6782.0,2393.0,310948.0,31.171.155.156,Tirana,36,25325,23776140,Other,50,323.94528388977,74.6257305145264,324.0,37.3128652572632,3486.0,2121.0,305998.0,31.171.155.172,Tirana,Other
49,50,51,cnbc.com,468.749284744263,74.7432708740234,191.0,37.3716354370117,1334.0,598.0,2187719.0,31.171.155.229,Tirana,Albania,0,152,47939,News Websites,51,512.551307678223,64.4888877868652,294.0,32.2444438934326,1694.0,861.0,2300267.0,31.171.155.156,Tirana,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",News Websites,51,482.658624649048,52.2043704986572,271.0,26.1021852493286,1941.0,1081.0,2309220.0,31.171.155.172,Tirana,News Websites
50,51,52,indiatimes.com,175.103664398193,47.250509262085,75.0,23.6252546310425,5475.0,848.0,813703.0,31.171.155.229,Tirana,Albania,289,24348,35244200,Other,52,185.216426849365,55.7560920715332,95.0,27.8780460357666,9190.0,698.0,825465.0,31.171.155.156,Tirana,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other,52,177.695751190186,66.1590099334717,92.0,33.0795049667358,2982.0,582.0,818969.0,31.171.155.172,Tirana,Other
52,53,54,flashscore.com,136.200428009033,46.5376377105713,99.0,23.2688188552856,1396.0,1131.0,299340.0,31.171.155.229,Tirana,Albania,0,315,292506,Other,54,149.940490722656,56.5543174743652,100.0,28.2771587371826,1398.0,1095.0,298162.0,31.171.155.156,Tirana,0,606,1073333,Other,54,216.256856918335,52.0980358123779,97.0,26.049017906189,1547.0,1049.0,306323.0,31.171.155.172,Tirana,Other
53,54,55,thepiratebay.org,184.07416343689,53.7598133087158,931.0,26.8799066543579,2221.0,2059.0,4896.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other,55,141.817808151245,56.1976432800293,758.0,28.0988216400146,2320.0,2071.0,4890.0,31.171.155.156,Tirana,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other,55,235.660791397095,53.5783767700195,751.0,26.7891883850098,2262.0,1948.0,4894.0,31.171.155.172,Tirana,Other
54,55,56,adobe.com,,,,,,,,31.171.155.229,Tirana,Albania,,,,Other,56,158.560276031494,56.3664436340332,100.0,28.1832218170166,2353.0,1112.0,317818.0,31.171.155.156,Tirana,62,465,189462,Other,56,,,,,,,,31.171.155.172,Tirana,Other
55,56,57,speedtest.net,164.305686950684,44.9237823486328,416.0,22.4618911743164,3718.0,1027.0,154398.0,31.171.155.229,Tirana,Albania,85,8283,17676491,Other,57,222.420215606689,86.6506099700928,628.0,43.3253049850464,17532.0,1448.0,162085.0,31.171.155.156,Tirana,95,17077,26376602,Other,57,280.639171600342,62.1986389160156,249.0,31.0993194580078,4568.0,945.0,154721.0,31.171.155.172,Tirana,Other
56,57,58,ssyoutube.com,116.747379302979,49.9286651611328,149.0,24.9643325805664,1943.0,1094.0,30024.0,31.171.155.229,Tirana,Albania,137,1985,3131012,Other,58,142.402172088623,56.1013221740723,162.0,28.0506610870361,3998.0,2363.0,30024.0,31.171.155.156,Tirana,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other,58,135.108470916748,58.2160949707031,161.0,29.1080474853516,2908.0,1055.0,30187.0,31.171.155.172,Tirana,Other
57,58,59,unsplash.com,174.706697463989,66.6639804840088,55.0,33.3319902420044,3205.0,1229.0,386206.0,31.171.155.229,Tirana,Albania,45,744,1510139,Other,59,247.900009155273,57.0869445800781,71.0,28.5434722900391,3382.0,1358.0,393735.0,31.171.155.156,Tirana,215,3515,4655112,Other,59,241.671085357666,54.1567802429199,73.0,27.07839012146,2794.0,1275.0,388982.0,31.171.155.172,Tirana,Other
58,59,60,lowes.com,,,,,,,,31.171.155.229,Tirana,Albania,,,,Other,60,,,,,,,,31.171.155.156,Tirana,,,,Other,60,,,,,,,,31.171.155.172,Tirana,Other
60,61,62,mcdonalds.com,323.89760017395,47.2030639648438,85.0,23.6015319824219,2381.0,1415.0,265463.0,31.171.155.229,Tirana,Albania,46,1030,3170830,Other,62,350.284337997437,55.8648109436035,101.0,27.9324054718018,4330.0,3153.0,265460.0,31.171.155.156,Tirana,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other,62,344.658851623535,59.0195655822754,156.0,29.5097827911377,2824.0,1639.0,268668.0,31.171.155.172,Tirana,Other
61,62,63,deepl.com,235.183954238892,46.269416809082,176.0,23.134708404541,1752.0,1371.0,226212.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other,63,253.421306610107,56.1985969543457,214.0,28.0992984771729,2279.0,1616.0,226148.0,31.171.155.156,Tirana,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",Other,63,245.158195495605,54.1148185729981,175.0,27.057409286499,2245.0,1674.0,227632.0,31.171.155.172,Tirana,Other
62,63,65,bloomberg.com,359.534502029419,81.3000202178955,61.0,40.6500101089478,17999.0,607.0,14807.0,31.171.155.229,Tirana,Albania,44,492,963852,Financial Websites,65,368.467092514038,55.7506084442139,67.0,27.8753042221069,2358.0,1119.0,14423.0,31.171.155.156,Tirana,79,726,963852,Financial Websites,65,358.860492706299,52.6630878448486,65.0,26.3315439224243,32982.0,242.0,14659.0,31.171.155.172,Tirana,Financial Websites
63,64,66,forbes.com,168.084144592285,45.6042289733887,54.0,22.8021144866943,19928.0,1025.0,929608.0,31.171.155.229,Tirana,Albania,45,31672,35188292,Financial Websites,66,197.425365447998,56.1385154724121,75.0,28.0692577362061,19322.0,1232.0,930074.0,31.171.155.156,Tirana,111,19228,22379651,Financial Websites,66,229.268550872803,56.2272071838379,76.0,28.1136035919189,21380.0,1220.0,926938.0,31.171.155.172,Tirana,Financial Websites
64,65,67,booking.com,111.172437667847,45.7618236541748,338.0,22.8809118270874,2026.0,1327.0,677899.0,31.171.155.229,Tirana,Albania,47,1201,4642973,Other,67,139.299869537354,56.0657978057861,364.0,28.0328989028931,3550.0,1511.0,683392.0,31.171.155.156,Tirana,0,22459,20466318,Other,67,127.607822418213,87.9576206207275,321.0,43.9788103103638,2050.0,1343.0,638716.0,31.171.155.172,Tirana,Other
65,66,68,xhamster.com,118.254661560059,45.0739860534668,632.0,22.5369930267334,5326.0,2528.0,288972.0,31.171.155.229,Tirana,Albania,46,284,49338,Other,68,137.866258621216,57.5158596038818,411.0,28.7579298019409,4827.0,2391.0,327347.0,31.171.155.156,Tirana,0,1973,4499591,Other,68,127.040863037109,54.3608665466309,780.0,27.1804332733154,4304.0,2766.0,326045.0,31.171.155.172,Tirana,Other
