,Unnamed: 0,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
0,0,google.com,140.879154205322,45.3870296478272,107.0,22.6935148239136,2606.0,981.0,5758.0,31.171.155.229,Tirana,Albania,44,810,3131021,Other
1,1,facebook.com,132.058382034302,50.4555702209473,239.0,25.2277851104736,2166.0,1904.0,67307.0,31.171.155.229,Tirana,Albania,46,3707,18162816,Social Media Sites
4,4,apple.com,171.164274215698,45.4668998718262,91.0,22.7334499359131,2072.0,712.0,255185.0,31.171.155.229,Tirana,Albania,46,298,86533,Other
7,7,yelp.com,175.781488418579,46.069860458374,605.0,23.034930229187,1980.0,1975.0,109438.0,31.171.155.229,Tirana,Albania,47,2936,7620135,Other
10,10,dictionary.com,187.601566314697,45.7367897033691,54.0,22.8683948516846,58699.0,894.0,248713.0,31.171.155.229,Tirana,Albania,169,7942,16286661,Educational Websites
13,13,britannica.com,485.863924026489,48.7520694732666,331.0,24.3760347366333,48244.0,1034.0,163562.0,31.171.155.229,Tirana,Albania,292,18148,18426415,Educational Websites
14,14,weather.com,142.389297485352,55.0911426544189,91.0,27.5455713272095,1608.0,843.0,764138.0,31.171.155.229,Tirana,Albania,92,900,1404795,Other
16,16,walmart.com,132.594585418701,46.2820529937744,119.0,23.1410264968872,11198.0,1285.0,172289.0,31.171.155.229,Tirana,Albania,91,3331,8130383,E-commerce Platforms
20,20,espncricinfo.com,673.87843132019,45.0263023376465,110.0,22.5131511688232,2282.0,1420.0,570660.0,31.171.155.229,Tirana,Albania,182,1794,1149156,Other
27,27,webmd.com,486.124515533447,44.865608215332,279.0,22.432804107666,22270.0,1226.0,306881.0,31.171.155.229,Tirana,Albania,111,10610,6188634,Health and Medical Websites
28,28,thesaurus.com,216.169834136963,86.4038467407227,90.0,43.2019233703613,3329.0,1179.0,207849.0,31.171.155.229,Tirana,Albania,132,7644,10580505,Other
29,29,whatsapp.com,214.653968811035,77.6278972625732,645.0,38.8139486312866,2877.0,2249.0,258741.0,31.171.155.229,Tirana,Albania,243,5742,10956378,Other
30,30,rottentomatoes.com,240.827798843384,45.466423034668,108.0,22.733211517334,2079.0,1392.0,336906.0,31.171.155.229,Tirana,Albania,149,1314,410902,Entertainment Websites
31,31,bbc.com,131.186246871948,44.9738502502441,61.0,22.4869251251221,2659.0,1530.0,213618.0,31.171.155.229,Tirana,Albania,45,272,44355,News Websites
33,33,healthline.com,109.619617462158,46.1809635162354,816.0,23.0904817581177,9947.0,1655.0,355669.0,31.171.155.229,Tirana,Albania,49,4441,5713090,Health and Medical Websites
34,34,netflix.com,495.884895324707,45.4850196838379,513.0,22.7425098419189,6582.0,3438.0,482387.0,31.171.155.229,Tirana,Albania,44,5425,18114995,Entertainment Websites
35,35,indeed.com,110.320806503296,44.9111461639404,69.0,22.4555730819702,10766.0,10580.0,10593.0,31.171.155.229,Tirana,Albania,46,398,271088,Other
36,36,thefreedictionary.com,510.842800140381,47.3630428314209,198.0,23.6815214157104,5393.0,1149.0,192343.0,31.171.155.229,Tirana,Albania,398,14150,18968115,Educational Websites
38,38,spotify.com,134.007930755615,45.4719066619873,117.0,22.7359533309937,3215.0,1608.0,76584.0,31.171.155.229,Tirana,Albania,45,1411,4647843,Entertainment Websites
42,42,ytmp3.cc,664.290189743042,47.7399826049805,240.0,23.8699913024902,3477.0,1789.0,164214.0,31.171.155.229,Tirana,Albania,73,2974,7812375,Other
43,44,nih.gov,491.079568862915,45.0141429901123,228.0,22.5070714950562,6462.0,1196.0,81882.0,31.171.155.229,Tirana,Albania,98,2406,3602527,Health and Medical Websites
44,45,tiktok.com,111.726760864258,44.804573059082,1764.0,22.402286529541,3783.0,3067.0,656020.0,31.171.155.229,Tirana,Albania,44,672,450135,Other
