,Unnamed: 0.1,Unnamed: 0,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
0,0,0,google.com,140.879154205322,45.3870296478272,107.0,22.6935148239136,2606.0,981.0,5758.0,31.171.155.229,Tirana,Albania,44,810,3131021,Other
1,1,1,facebook.com,132.058382034302,50.4555702209473,239.0,25.2277851104736,2166.0,1904.0,67307.0,31.171.155.229,Tirana,Albania,46,3707,18162816,Social Media Sites
2,2,2,amazon.com,485.580205917358,47.9185581207275,205.0,23.9592790603638,1897.0,795.0,7027.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms
3,3,3,imdb.com,483.942270278931,45.4473495483398,1264.0,22.7236747741699,4479.0,2425.0,707806.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Entertainment Websites
4,4,4,apple.com,171.164274215698,45.4668998718262,91.0,22.7334499359131,2072.0,712.0,255185.0,31.171.155.229,Tirana,Albania,46,298,86533,Other
5,5,5,merriam-webster.com,124.940872192383,54.1839599609375,74.0,27.0919799804687,38586.0,688.0,275645.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Educational Websites
6,6,6,pinterest.com,114.180564880371,47.0385551452637,273.0,23.5192775726318,1174.0,1168.0,260946.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Social Media Sites
7,7,7,yelp.com,175.781488418579,46.069860458374,605.0,23.034930229187,1980.0,1975.0,109438.0,31.171.155.229,Tirana,Albania,47,2936,7620135,Other
8,8,8,tripadvisor.com,,,,,,,,31.171.155.229,Tirana,Albania,,,,Other
9,9,9,wiktionary.org,189.539432525635,45.6051826477051,116.0,22.8025913238525,528.0,527.0,61262.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
10,10,10,dictionary.com,187.601566314697,45.7367897033691,54.0,22.8683948516846,58699.0,894.0,248713.0,31.171.155.229,Tirana,Albania,169,7942,16286661,Educational Websites
11,11,11,yahoo.com,451.09486579895,47.2607612609863,235.0,23.6303806304932,1402.0,1286.0,989054.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
12,12,12,cambridge.org,176.669597625732,45.2308654785156,199.0,22.6154327392578,1786.0,1167.0,286057.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Educational Websites
13,13,13,britannica.com,485.863924026489,48.7520694732666,331.0,24.3760347366333,48244.0,1034.0,163562.0,31.171.155.229,Tirana,Albania,292,18148,18426415,Educational Websites
14,14,14,weather.com,142.389297485352,55.0911426544189,91.0,27.5455713272095,1608.0,843.0,764138.0,31.171.155.229,Tirana,Albania,92,900,1404795,Other
16,16,16,walmart.com,132.594585418701,46.2820529937744,119.0,23.1410264968872,11198.0,1285.0,172289.0,31.171.155.229,Tirana,Albania,91,3331,8130383,E-commerce Platforms
17,17,17,espn.com,132.813692092896,45.5982685089111,287.0,22.7991342544556,10651.0,2606.0,1154250.0,31.171.155.229,Tirana,Albania,0,7016,21212071,Other
18,18,18,linkedin.com,164.062738418579,44.88205909729,367.0,22.441029548645,1225.0,696.0,142300.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Social Media Sites
19,19,19,homedepot.com,113.507986068726,45.668363571167,81.0,22.8341817855835,381.0,380.0,227.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
20,20,20,espncricinfo.com,673.87843132019,45.0263023376465,110.0,22.5131511688232,2282.0,1420.0,570660.0,31.171.155.229,Tirana,Albania,182,1794,1149156,Other
21,21,21,craigslist.org,511.171817779541,44.6302890777588,174.0,22.3151445388794,2691.0,1499.0,51059.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
22,22,22,xnxx.com,313.223838806152,45.9840297698975,177.0,22.9920148849487,2551.0,1585.0,203628.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
23,23,23,gsmarena.com,160.502910614014,50.5039691925049,83.0,25.2519845962524,2178.0,1091.0,63454.0,31.171.155.229,Tirana,Albania,0,633,1510139,Other
24,24,24,mayoclinic.org,556.700706481934,45.2461242675781,227.0,22.6230621337891,7541.0,1124.0,557846.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Health and Medical Websites
25,25,25,cricbuzz.com,503.12066078186,45.5641746520996,306.0,22.7820873260498,30910.0,538.0,145788.0,31.171.155.229,Tirana,Albania,0,7882,20940904,Other
26,26,26,timeanddate.com,323.68540763855,45.7432270050049,99.0,22.8716135025024,23064.0,509.0,69419.0,31.171.155.229,Tirana,Albania,0,4077,5578517,Other
27,27,27,webmd.com,486.124515533447,44.865608215332,279.0,22.432804107666,22270.0,1226.0,306881.0,31.171.155.229,Tirana,Albania,111,10610,6188634,Health and Medical Websites
28,28,28,thesaurus.com,216.169834136963,86.4038467407227,90.0,43.2019233703613,3329.0,1179.0,207849.0,31.171.155.229,Tirana,Albania,132,7644,10580505,Other
29,29,29,whatsapp.com,214.653968811035,77.6278972625732,645.0,38.8139486312866,2877.0,2249.0,258741.0,31.171.155.229,Tirana,Albania,243,5742,10956378,Other
30,30,30,rottentomatoes.com,240.827798843384,45.466423034668,108.0,22.733211517334,2079.0,1392.0,336906.0,31.171.155.229,Tirana,Albania,149,1314,410902,Entertainment Websites
31,31,31,bbc.com,131.186246871948,44.9738502502441,61.0,22.4869251251221,2659.0,1530.0,213618.0,31.171.155.229,Tirana,Albania,45,272,44355,News Websites
32,32,32,bestbuy.com,177.33097076416,47.107458114624,331.0,23.553729057312,1090.0,847.0,6921.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms
33,33,33,healthline.com,109.619617462158,46.1809635162354,816.0,23.0904817581177,9947.0,1655.0,355669.0,31.171.155.229,Tirana,Albania,49,4441,5713090,Health and Medical Websites
34,34,34,netflix.com,495.884895324707,45.4850196838379,513.0,22.7425098419189,6582.0,3438.0,482387.0,31.171.155.229,Tirana,Albania,44,5425,18114995,Entertainment Websites
35,35,35,indeed.com,110.320806503296,44.9111461639404,69.0,22.4555730819702,10766.0,10580.0,10593.0,31.171.155.229,Tirana,Albania,46,398,271088,Other
36,36,36,thefreedictionary.com,510.842800140381,47.3630428314209,198.0,23.6815214157104,5393.0,1149.0,192343.0,31.171.155.229,Tirana,Albania,398,14150,18968115,Educational Websites
37,37,37,xvideos.com,319.38648223877,45.7086563110352,225.0,22.8543281555176,3867.0,2294.0,134629.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
38,38,38,spotify.com,134.007930755615,45.4719066619873,117.0,22.7359533309937,3215.0,1608.0,76584.0,31.171.155.229,Tirana,Albania,45,1411,4647843,Entertainment Websites
39,39,39,livescore.com,131.012201309204,45.2003479003906,89.0,22.6001739501953,2141.0,1088.0,258946.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
40,40,40,ebay.com,459.381103515625,50.6222248077393,381.0,25.3111124038696,3133.0,1531.0,313844.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",E-commerce Platforms
41,41,41,pornhub.com,175.182104110718,45.2835559844971,473.0,22.6417779922485,3804.0,1999.0,677564.0,31.171.155.229,Tirana,Albania,0,1918,5411757,Other
42,42,42,ytmp3.cc,664.290189743042,47.7399826049805,240.0,23.8699913024902,3477.0,1789.0,164214.0,31.171.155.229,Tirana,Albania,73,2974,7812375,Other
43,43,44,nih.gov,491.079568862915,45.0141429901123,228.0,22.5070714950562,6462.0,1196.0,81882.0,31.171.155.229,Tirana,Albania,98,2406,3602527,Health and Medical Websites
44,44,45,tiktok.com,111.726760864258,44.804573059082,1764.0,22.402286529541,3783.0,3067.0,656020.0,31.171.155.229,Tirana,Albania,44,672,450135,Other
45,45,46,steampowered.com,151.555061340332,49.7267246246338,61.0,24.8633623123169,2625.0,1638.0,508342.0,31.171.155.229,Tirana,Albania,0,552,1510139,Other
46,46,47,investopedia.com,165.332317352295,47.6224422454834,6212.0,23.8112211227417,6407.0,6399.0,147.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Financial Websites
47,47,48,cdc.gov,659.950733184814,64.4619464874268,80.0,32.2309732437134,1183.0,743.0,236314.0,31.171.155.229,Tirana,Albania,50,300,52858,Health and Medical Websites
48,48,49,nordstrom.com,147.300720214844,45.6578731536865,290.0,22.8289365768433,874.0,874.0,214445.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms
49,49,50,blog.google,163.378715515137,45.0499057769775,227.0,22.5249528884888,4455.0,1558.0,311339.0,31.171.155.229,Tirana,Albania,137,16279,17637450,Other
