,Unnamed: 0,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
90,95,stackoverflow.com,165.510654449463,46.0116863250732,214.0,23.0058431625366,451.0,451.0,66.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
91,96,calculator.net,498.730897903442,76.2960910797119,163.0,38.148045539856,2933.0,2621.0,11466.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
93,99,grubhub.com,128.767013549805,44.8408126831055,53.0,22.4204063415527,1100.0,383.0,2701.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
94,100,google.com,541.374444961548,242.412567138672,335.0,121.206283569336,6866.0,4157.0,146757.0,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
98,104,apple.com,550.144195556641,241.236209869385,254.0,120.618104934692,6387.0,2884.0,255197.0,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
99,105,merriam-webster.com,496.272802352905,254.339933395386,327.0,127.169966697693,92918.0,2408.0,280006.0,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Educational Websites
109,115,microsoft.com,819.678544998169,242.961645126343,0.0,121.480822563171,43.0,38.0,3448.0,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
123,129,whatsapp.com,493.099689483643,242.399930953979,811.0,121.19996547699,6144.0,4784.0,258729.0,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
127,133,healthline.com,799.639463424683,240.355491638184,546.0,120.177745819092,14941.0,3388.0,356126.0,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Health and Medical Websites
132,138,spotify.com,495.076417922974,241.227626800537,414.0,120.613813400269,17799.0,4108.0,185455.0,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Entertainment Websites
136,142,ytmp3.cc,1787.23621368408,240.942716598511,615.0,120.471358299255,7744.0,4434.0,164351.0,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
148,155,thepiratebay.org,502.409934997559,253.405332565308,1469.0,126.702666282654,7170.0,4129.0,4967.0,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
155,162,mcdonalds.com,789.885997772217,241.236686706543,273.0,120.618343353271,6294.0,3744.0,265411.0,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
